1155351785 0 0 0 0 0 0 0 0 0 102 0 0 0 0 0 0 0 0 0 0
1155390881 0 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0
1155564902 8 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0
1155565030 9 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0
1158344461 9 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0 0 0 0
1158380232 9 0 0 0 0 0 0 0 0 142 0 0 0 0 0 0 0 0 0 0
1164127262 9 0 0 0 0 0 0 0 0 168 0 0 0 0 0 0 0 0 0 0
1164127352 9 0 0 0 0 0 0 0 0 169 0 0 0 0 0 0 0 0 0 0
1168640381 10 0 0 0 0 0 0 0 0 169 0 0 0 0 0 0 0 0 0 0
1173889783 10 0 0 0 0 0 0 0 0 182 0 0 0 0 0 0 0 0 0 0
1175267488 10 0 0 0 0 0 0 0 0 182 0 0 0 0 0 0 0 0 0 0
1178043618 10 0 0 0 0 0 0 0 0 196 0 0 0 0 0 0 0 0 0 0
1178043930 10 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 0 0
1178047578 10 0 0 0 0 0 0 0 0 207 0 0 0 0 0 0 0 0 0 0
1178136041 10 0 0 0 0 0 0 0 0 280 0 0 0 0 0 0 0 0 0 0
1178137755 11 0 0 0 0 0 0 0 0 280 0 0 0 0 0 0 0 0 0 0
1178801304 11 0 0 0 0 0 0 0 0 287 0 0 0 0 0 0 0 0 0 0
1182254376 11 0 0 0 0 0 0 0 0 288 0 0 0 0 0 0 0 0 0 0
1183734067 11 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1185387525 240 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1185388942 249 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1185389602 250 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1185462747 1204 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1185462929 1206 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1185464700 1207 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1186161182 1223 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0
1190123391 1223 0 0 0 0 0 0 0 0 290 0 0 0 0 0 0 0 0 0 0
1192815003 1223 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1196699471 1225 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1196700520 1230 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1196719572 1231 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1204560521 1232 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1204582012 1234 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1204644514 1234 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1207329584 1236 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 0 0 0 0
1208363974 1236 0 0 0 0 0 0 0 0 308 0 0 0 0 0 0 0 0 0 0
1208365511 1238 0 0 0 0 0 0 0 0 308 0 0 0 0 0 0 0 0 0 0
1212691800 1238 0 0 0 0 0 0 0 0 308 0 0 15 0 0 0 0 0 0 0
1212765425 1238 0 0 0 0 0 0 0 0 308 0 0 15 0 0 0 0 0 0 0
1212765782 1238 0 0 0 0 0 0 0 0 308 0 0 24 0 0 0 0 0 0 0
1213644662 5471 0 0 0 0 0 0 0 0 308 0 0 24 0 0 0 0 0 0 0
1214249624 5499 0 0 0 0 0 0 0 0 308 0 0 24 0 0 0 0 0 0 0
1214250355 5663 0 0 0 0 0 0 0 0 308 0 0 24 0 0 0 0 0 0 0
1214250404 5783 0 0 0 0 0 0 0 0 308 0 0 24 0 0 0 0 0 0 0
1214250425 5785 0 0 0 0 0 0 0 0 308 0 0 24 0 0 0 0 0 0 0
1214593581 5785 0 0 0 0 0 0 0 0 308 0 0 35 0 0 0 0 0 0 0
1214593623 5785 0 0 0 0 0 0 0 0 308 0 0 38 0 0 0 0 0 0 0
1214594409 5785 0 0 0 0 0 0 0 0 308 0 0 38 0 0 0 0 0 0 0
1214602092 5785 0 0 0 0 0 0 0 0 308 0 0 40 0 0 0 0 0 0 0
1214602126 5785 0 0 0 0 0 0 0 0 308 0 0 44 0 0 0 0 0 0 0
1214627636 5785 0 0 0 0 0 0 0 0 308 0 0 44 0 0 0 0 0 0 0
1214862243 5785 0 0 0 0 0 0 0 0 308 0 0 51 0 0 0 0 0 0 0
1214866006 5785 0 0 0 0 0 0 0 0 308 0 0 52 0 0 0 0 0 0 0
1214866966 5785 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1215464493 5882 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1216039534 5886 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1217498821 6700 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1217498857 6762 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1217498945 7203 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1220462531 17431 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
1220471390 17439 0 0 0 0 0 0 0 0 308 0 0 53 0 0 0 0 0 0 0
