redhat.com 1 5286
localhost.localdomain 2 32
obelisk.bne.redhat.com 3 5
gmail.com 4 4
fedoraproject.org 5 2
ce.jp.nec.com 6 2
dhcp-1-132.bne.redhat.com 7 1
bass.usersys.redhat.com 8 1
